From ,TP ,"",12 ,2 ,3 ,4 ,6 ,7 ,8 ,9 ,10 ,11 ,17 ,16 ,18 ,20 ,PC ,PA PC ,PA PC ,PA ,PC ,PA ,%
 JULIO CESAR 12 ,"96'58"" ","","",2 ,6 ,2 ,2 ,"","",2 ,2 ,"","","","","",4 ,9 10 ,10 2 ,2 ,16 ,21 ,76%
Dani ALVES 2 ,"96'58"" ","",1 ,"",14 ,2 ,"",3 ,8 ,1 ,10 ,22 ,7 ,"",2 ,"",4 ,7 39 ,50 27 ,34 ,70 ,91 ,77%
Thiago SILVA 3 ,"96'58"" ","",1 ,20 ,"",15 ,2 ,1 ,2 ,1 ,3 ,7 ,13 ,"",1 ,"",7 ,11 54 ,56 5 ,6 ,66 ,73 ,90%
 DAVID LUIZ 4 ,"96'58"" ","",2 ,6 ,13 ,"",13 ,2 ,2 ,"",1 ,2 ,9 ,"",1 ,"",6 ,13 38 ,43 7 ,7 ,51 ,63 ,81%
 MARCELO 6 ,"96'58"" ","","",1 ,5 ,10 ,"",6 ,2 ,1 ,14 ,5 ,8 ,"","","",7 ,10 28 ,34 17 ,22 ,52 ,66 ,79%
 HULK 7 ,"70'10"" ","","",2 ,1 ,"",6 ,"",1 ,1 ,1 ,2 ,"","","","",1 ,3 5 ,9 8 ,13 ,14 ,25 ,56%
 PAULINHO 8 ,"64'49"" ","","",6 ,2 ,3 ,4 ,"","",1 ,3 ,1 ,1 ,"","","",3 ,3 13 ,16 5 ,8 ,21 ,27 ,78%
 FRED 9 ,"96'58"" ","","",1 ,"",1 ,"","",1 ,"",1 ,1 ,1 ,"",1 ,1 ,0 ,1 4 ,7 4 ,5 ,8 ,13 ,62%
 NEYMAR 10 ,"89'56"" ","","",4 ,3 ,4 ,7 ,5 ,1 ,1 ,"",2 ,3 ,"","",5 ,2 ,6 18 ,24 15 ,19 ,35 ,49 ,71%
 OSCAR 11 ,"96'58"" ","","",11 ,2 ,2 ,"",3 ,3 ,"",5 ,"",3 ,"","","",5 ,8 17 ,25 7 ,15 ,29 ,48 ,60%
 LUIZ GUSTAVO 17 ,"96'58"" ","",1 ,10 ,13 ,10 ,8 ,3 ,5 ,1 ,3 ,2 ,"","",1 ,"",8 ,9 38 ,44 11 ,17 ,57 ,70 ,81%
 RAMIRES 16 ,"7'02"" ","","","","","","","","","","","","","","","",0 ,0 0 ,0 0 ,0 ,0 ,0 ,0%
 HERNANES 18 ,"32'09"" ","","","","","","","","",1 ,"",2 ,2 ,"","","",0 ,1 4 ,4 1 ,4 ,5 ,9 ,56%
 BERNARD 20 ,"26'47"" ","","","","","",4 ,"","",2 ,2 ,"","","",1 ,"",0 ,1 4 ,4 5 ,6 ,9 ,11 ,82%
Total passes received ,"","",5 ,63 ,59 ,49 ,46 ,23 ,25 ,12 ,45 ,46 ,47 ,0 ,7 ,6 ,47 ,82 272 ,326 114 ,158 ,433 ,566 ,77%
"","","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"",Total,"",""
From ,TP ,"",1 ,2 ,4 ,5 ,6 ,7 ,9 ,10 ,11 ,18 ,20 ,14 ,16 ,PC ,PA ,PC PA ,PC PA ,PC ,PA ,%,""
Stipe PLETIKOSA 1 ,"96'58"" ","","",1 ,3 ,2 ,"","",5 ,1 ,1 ,1 ,2 ,1 ,"",14 ,20 ,2 2 ,1 1 ,17 ,23 ,74%,""
Sime VRSALJKO 2 ,"96'58"" ","",2 ,"","",2 ,1 ,7 ,"",11 ,"",12 ,3 ,3 ,1 ,2 ,8 ,27 36 ,13 16 ,42 ,60 ,70%,""
Ivan PERISIC 4 ,"96'58"" ","","",1 ,"","",2 ,"","",5 ,1 ,2 ,"",2 ,"",3 ,3 ,4 12 ,6 11 ,13 ,26 ,50%,""
Vedran CORLUKA 5 ,"96'58"" ","",1 ,3 ,1 ,"",2 ,4 ,1 ,7 ,4 ,1 ,"",2 ,"",3 ,4 ,15 17 ,8 8 ,26 ,29 ,90%,""
Dejan LOVREN 6 ,"96'58"" ","",2 ,2 ,2 ,1 ,"",2 ,"",1 ,1 ,2 ,2 ,1 ,"",2 ,5 ,11 13 ,3 4 ,16 ,22 ,73%,""
Ivan RAKITIC 7 ,"96'58"" ","",1 ,5 ,3 ,4 ,2 ,"",1 ,7 ,2 ,5 ,6 ,3 ,1 ,7 ,9 ,23 30 ,10 13 ,40 ,52 ,77%,""
Nikica JELAVIC 9 ,"79'53"" ","","","",1 ,1 ,"","","",2 ,"",2 ,2 ,"","",2 ,2 ,5 13 ,1 3 ,8 ,18 ,44%,""
Luka MODRIC 10 ,"96'58"" ","","",6 ,9 ,8 ,2 ,10 ,4 ,"",7 ,"",2 ,4 ,2 ,3 ,4 ,43 50 ,8 9 ,54 ,63 ,86%,""
Darijo SRNA 11 ,"96'58"" ","","","",3 ,4 ,1 ,2 ,2 ,6 ,"",1 ,1 ,2 ,1 ,2 ,5 ,12 19 ,9 15 ,23 ,39 ,59%,""
Ivica OLIC 18 ,"96'58"" ","","",5 ,"","","",1 ,1 ,1 ,"","",3 ,"","",0 ,0 ,3 13 ,8 18 ,11 ,31 ,35%,""
Mateo KOVACIC 20 ,"62'22"" ","","",2 ,"","",1 ,4 ,2 ,6 ,"",2 ,"","","",1 ,1 ,11 13 ,5 6 ,17 ,20 ,85%,""
Marcelo BROZOVIC 14 ,"34'35"" ","","",2 ,"","",1 ,"",2 ,3 ,3 ,"","","",2 ,1 ,1 ,8 12 ,4 8 ,13 ,21 ,62%,""
Ante REBIC 16 ,"17'05"" ","","",1 ,"","","","","",1 ,"",1 ,"",1 ,"",0 ,0 ,3 5 ,1 1 ,4 ,6 ,67%,""
Total passes received ,"","",6 ,28 ,22 ,22 ,12 ,30 ,18 ,51 ,19 ,29 ,21 ,19 ,7 ,40 ,62 ,167 235 ,77 113 ,284 ,410 ,69%,""
