From ,TP ,"",1 ,3 ,5 ,6 ,9 ,10 ,14 ,15 ,16 ,17 ,19 ,7 ,11 ,21 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Keylor NAVAS 1 ,"93'17"" ","","","","",6 ,2 ,1 ,1 ,1 ,1 ,"",3 ,"","","",8 19 ,"",7 7 ,0 0 ,15 ,26 ,58%
Giancarlo GONZALEZ 3 ,"93'17"" ","",4 ,"",1 ,3 ,3 ,2 ,"",2 ,3 ,1 ,3 ,"","","",2 8 ,"",20 25 ,0 0 ,22 ,33 ,67%
Celso BORGES 5 ,"77'31"" ","","","","",1 ,"",6 ,3 ,7 ,"",6 ,"","","","",3 3 ,"",8 13 ,12 13 ,23 ,29 ,79%
Oscar DUARTE 6 ,"93'17"" ","",1 ,4 ,4 ,"",1 ,3 ,1 ,2 ,13 ,10 ,1 ,"",1 ,"",7 11 ,"",21 25 ,13 15 ,41 ,51 ,80%
Joel CAMPBELL 9 ,"65'00"" ","","","",1 ,2 ,"",7 ,2 ,1 ,2 ,5 ,1 ,"","","",0 2 ,"",12 15 ,9 11 ,21 ,28 ,75%
Bryan RUIZ 10 ,"93'17"" ","","",1 ,4 ,2 ,10 ,"","",3 ,1 ,6 ,3 ,2 ,1 ,"",2 6 ,"",21 22 ,10 16 ,33 ,44 ,75%
Randall BRENES 14 ,"59'07"" ","","","",2 ,"",3 ,1 ,"",1 ,"",3 ,2 ,"","","",1 3 ,"",8 9 ,3 6 ,12 ,18 ,67%
Junior DIAZ 15 ,"93'17"" ","","",1 ,5 ,3 ,2 ,2 ,4 ,"","",4 ,10 ,3 ,2 ,1 ,4 8 ,"",24 35 ,9 10 ,37 ,53 ,70%
Cristian GAMBOA 16 ,"93'17"" ","",1 ,"",1 ,4 ,3 ,3 ,1 ,"","",8 ,"","",3 ,"",5 7 ,"",13 23 ,6 10 ,24 ,40 ,60%
Yeltsin TEJEDA 17 ,"93'17"" ","","",2 ,3 ,12 ,3 ,10 ,2 ,6 ,4 ,"",4 ,2 ,"",1 ,6 10 ,"",31 34 ,12 16 ,49 ,60 ,82%
Roy MILLER 19 ,"93'17"" ","","",4 ,2 ,3 ,1 ,"",1 ,5 ,2 ,6 ,"",2 ,1 ,1 ,5 12 ,"",15 25 ,8 11 ,28 ,48 ,58%
Christian BOLANOS 7 ,"34'10"" ","","",1 ,1 ,1 ,"","","",1 ,1 ,1 ,2 ,"",3 ,1 ,2 3 ,"",5 7 ,5 7 ,12 ,17 ,71%
Michael BARRANTES 11 ,"15'46"" ","","","","","","",3 ,"",2 ,"",1 ,1 ,2 ,"",2 ,1 2 ,"",9 11 ,1 1 ,11 ,14 ,79%
Marcos URENA 21 ,"28'17"" ","","","","","","",1 ,"","","","","",2 ,2 ,"",0 0 ,"",3 5 ,2 2 ,5 ,7 ,71%
Total passes received ,"","",6 ,13 ,24 ,37 ,28 ,39 ,15 ,31 ,27 ,51 ,30 ,13 ,13 ,6 ,46 94 ,"",197 256 ,90 118 ,333 ,468 ,71%
"","","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"",Total,""
From ,TP ,"",13 ,5 ,7 ,8 ,9 ,12 ,16 ,17 ,20 ,21 ,23 ,4 ,10 ,19 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Ben FOSTER 13 ,"93'17"" ","","",10 ,"",1 ,"",4 ,3 ,1 ,"",1 ,2 ,"","",1 ,3 9 ,"",16 16 ,4 4 ,23 ,29 ,79%
Gary CAHILL 5 ,"93'17"" ","",5 ,"",2 ,14 ,"",13 ,12 ,5 ,"",2 ,1 ,"",3 ,"",5 10 ,"",41 43 ,11 13 ,57 ,66 ,86%
Jack WILSHERE 7 ,"72'36"" ","","",1 ,"",9 ,5 ,1 ,3 ,2 ,1 ,4 ,5 ,"","",1 ,5 8 ,"",16 21 ,11 16 ,32 ,45 ,71%
Frank LAMPARD 8 ,"93'17"" ","","",15 ,9 ,"","",6 ,4 ,6 ,4 ,9 ,6 ,1 ,1 ,3 ,12 17 ,"",39 45 ,13 16 ,64 ,78 ,82%
Daniel STURRIDGE 9 ,"93'17"" ","",1 ,2 ,3 ,1 ,"","","","","",2 ,1 ,1 ,2 ,2 ,2 2 ,"",11 14 ,2 4 ,15 ,20 ,75%
Chris SMALLING 12 ,"93'17"" ","",2 ,7 ,2 ,7 ,"","",2 ,2 ,2 ,1 ,10 ,2 ,"",2 ,7 12 ,"",27 31 ,5 7 ,39 ,50 ,78%
Phil JONES 16 ,"93'17"" ","",1 ,8 ,4 ,8 ,1 ,2 ,"",1 ,3 ,7 ,"","",1 ,2 ,2 8 ,"",24 35 ,12 15 ,38 ,58 ,66%
James MILNER 17 ,"75'50"" ","",2 ,1 ,3 ,2 ,3 ,"",3 ,"",3 ,2 ,2 ,"","","",3 5 ,"",11 17 ,7 12 ,21 ,34 ,62%
Adam LALLANA 20 ,"61'20"" ","",1 ,"",1 ,1 ,2 ,"",2 ,2 ,"",2 ,2 ,"","","",1 4 ,"",9 15 ,3 5 ,13 ,24 ,54%
Ross BARKLEY 21 ,"93'17"" ","","",3 ,3 ,3 ,2 ,4 ,3 ,2 ,"","",7 ,1 ,2 ,2 ,5 10 ,"",17 24 ,10 13 ,32 ,47 ,68%
Luke SHAW 23 ,"93'17"" ","",1 ,"",5 ,5 ,3 ,9 ,"",2 ,3 ,7 ,"",3 ,2 ,3 ,6 9 ,"",28 34 ,9 14 ,43 ,57 ,75%
Steven GERRARD 4 ,"20'41"" ","","",2 ,"",1 ,1 ,1 ,"","","",2 ,1 ,"","",2 ,4 6 ,"",5 6 ,1 3 ,10 ,15 ,67%
Wayne ROONEY 10 ,"17'28"" ","","",1 ,"","",1 ,"",1 ,"","",1 ,"",1 ,"","",0 1 ,"",3 4 ,2 4 ,5 ,9 ,56%
Raheem STERLING 19 ,"31'57"" ","","",1 ,1 ,1 ,5 ,2 ,2 ,"","","","","","","",2 3 ,"",8 14 ,2 3 ,12 ,20 ,60%
Total passes received ,"","",13 ,51 ,33 ,53 ,23 ,42 ,35 ,23 ,16 ,40 ,37 ,9 ,11 ,18 ,57 104 ,"",255 319 ,92 129 ,404 ,552 ,73%
