From ,TP ,"",1 ,2 ,3 ,5 ,6 ,9 ,10 ,11 ,12 ,15 ,20 ,4 ,19 ,21 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Jasper CILLESSEN 1 ,"101'03"" ","","","",5 ,2 ,"","","","","",4 ,"",9 ,"","",5 9 ,"",15 15 ,0 0 ,20 ,24 ,83%
Ron VLAAR 2 ,"101'03"" ","","","",7 ,8 ,1 ,"",3 ,2 ,2 ,6 ,1 ,10 ,"","",6 8 ,"",31 32 ,3 3 ,40 ,43 ,93%
Stefan DE VRIJ 3 ,"101'03"" ","",2 ,13 ,"",5 ,"",4 ,6 ,3 ,5 ,9 ,2 ,8 ,"","",10 14 ,"",42 46 ,5 5 ,57 ,65 ,88%
Daley BLIND 5 ,"101'03"" ","",2 ,4 ,8 ,"","",2 ,6 ,3 ,7 ,10 ,6 ,9 ,"",1 ,13 14 ,"",40 48 ,5 7 ,58 ,69 ,84%
Nigel DE JONG 6 ,"8'40"" ","","",1 ,2 ,"","",1 ,"","","",1 ,"","","","",1 2 ,"",3 5 ,1 1 ,5 ,8 ,62%
Robin VAN PERSIE 9 ,"79'45"" ","","","",1 ,1 ,"","",4 ,1 ,2 ,2 ,2 ,"","","",1 1 ,"",6 12 ,6 8 ,13 ,21 ,62%
Wesley SNEIJDER 10 ,"101'03"" ","","",1 ,4 ,9 ,"","","",6 ,3 ,5 ,2 ,12 ,"",5 ,9 13 ,"",26 32 ,12 15 ,47 ,60 ,78%
Arjen ROBBEN 11 ,"101'03"" ","","",1 ,4 ,4 ,"",4 ,4 ,"",2 ,5 ,2 ,"",1 ,"",4 8 ,"",21 30 ,2 3 ,27 ,41 ,66%
Paul VERHAEGH 12 ,"60'22"" ","",1 ,"",10 ,4 ,"",3 ,"",2 ,"","",7 ,"","","",2 3 ,"",22 26 ,3 3 ,27 ,32 ,84%
Dirk KUYT 15 ,"101'03"" ","","",4 ,1 ,4 ,5 ,1 ,13 ,8 ,3 ,"",10 ,5 ,"","",6 11 ,"",35 47 ,13 16 ,54 ,74 ,73%
Georginio WIJNALDUM 20 ,"101'03"" ","","",4 ,1 ,6 ,1 ,2 ,4 ,7 ,2 ,3 ,"",2 ,"",1 ,5 5 ,"",24 26 ,4 7 ,33 ,38 ,87%
Bruno MARTINS INDI 4 ,"92'23"" ","",1 ,3 ,4 ,10 ,"",2 ,15 ,2 ,"",12 ,"","",2 ,12 ,7 14 ,"",39 41 ,17 17 ,63 ,72 ,88%
Klaas Jan HUNTELAAR 19 ,"21'19"" ","","","","","","","",1 ,1 ,"",2 ,"","","","",1 1 ,"",1 3 ,2 3 ,4 ,7 ,57%
Memphis DEPAY 21 ,"40'42"" ","","","","","","","",6 ,"","","","",5 ,2 ,"",1 4 ,"",6 10 ,6 7 ,13 ,21 ,62%
Total passes received ,"","",6 ,31 ,47 ,53 ,7 ,19 ,62 ,35 ,26 ,59 ,32 ,60 ,5 ,19 ,71 107 ,"",311 373 ,79 95 ,461 ,575 ,80%
"","","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"",Total,""
From ,TP ,"",13 ,2 ,3 ,4 ,6 ,7 ,10 ,15 ,18 ,19 ,22 ,5 ,14 ,20 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Guillermo OCHOA 13 ,"101'03"" ","","",4 ,1 ,11 ,2 ,"","",1 ,"","",1 ,3 ,1 ,"",4 7 ,"",19 19 ,1 1 ,24 ,27 ,89%
Francisco RODRIGUEZ 2 ,"101'03"" ","",4 ,"",1 ,15 ,6 ,"",4 ,"",1 ,1 ,5 ,"",1 ,1 ,6 11 ,"",29 37 ,4 5 ,39 ,53 ,74%
Carlos SALCIDO 3 ,"101'03"" ","","",5 ,"",8 ,3 ,1 ,"",3 ,4 ,3 ,"",1 ,"","",1 2 ,"",23 29 ,4 5 ,28 ,36 ,78%
Rafael MARQUEZ 4 ,"101'03"" ","",2 ,11 ,5 ,"",8 ,3 ,2 ,5 ,8 ,2 ,3 ,3 ,"",1 ,12 16 ,"",34 42 ,7 8 ,53 ,66 ,80%
Hector HERRERA 6 ,"101'03"" ","","",4 ,3 ,4 ,"",3 ,3 ,"",3 ,7 ,6 ,"","",3 ,2 7 ,"",24 32 ,10 12 ,36 ,51 ,71%
Miguel LAYUN 7 ,"101'03"" ","","","",1 ,2 ,2 ,"",1 ,1 ,4 ,1 ,"","",1 ,1 ,2 6 ,"",10 14 ,2 4 ,14 ,24 ,58%
Giovani DOS SANTOS 10 ,"65'27"" ","","",1 ,"",1 ,4 ,2 ,"",2 ,1 ,3 ,1 ,"","","",1 1 ,"",7 10 ,7 8 ,15 ,19 ,79%
Hector MORENO 15 ,"49'33"" ","",1 ,"",1 ,9 ,"",2 ,"","",1 ,5 ,"","","","",2 6 ,"",14 16 ,3 3 ,19 ,25 ,76%
Andres GUARDADO 18 ,"101'03"" ","","",1 ,6 ,"",3 ,3 ,2 ,4 ,"","",1 ,"","",2 ,1 2 ,"",16 22 ,5 6 ,22 ,30 ,73%
Oribe PERALTA 19 ,"79'02"" ","","","",1 ,"",6 ,1 ,5 ,1 ,2 ,"","",1 ,"","",1 2 ,"",4 6 ,12 18 ,17 ,26 ,65%
Paul AGUILAR 22 ,"101'03"" ","","",3 ,2 ,1 ,7 ,"",2 ,"","",2 ,"","",1 ,3 ,1 2 ,"",13 21 ,7 10 ,21 ,33 ,64%
Diego REYES 5 ,"51'31"" ","","","",1 ,2 ,"","","","",1 ,4 ,1 ,"","",1 ,1 1 ,"",6 8 ,3 3 ,10 ,12 ,83%
Javier HERNANDEZ 14 ,"22'02"" ","","","","","",3 ,"","","","","","","","","",0 1 ,"",1 2 ,2 6 ,3 ,9 ,33%
Javier AQUINO 20 ,"35'37"" ","","","","","",3 ,1 ,"","",1 ,"",3 ,1 ,1 ,"",0 0 ,"",7 8 ,3 5 ,10 ,13 ,77%
Total passes received ,"","",7 ,29 ,22 ,53 ,47 ,16 ,19 ,17 ,26 ,28 ,21 ,9 ,5 ,12 ,34 64 ,"",207 266 ,70 94 ,311 ,424 ,73%
