From ,TP ,"",12 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,23 ,15 ,16 ,18 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
 JULIO CESAR 12 ,"96'08"" ","","",2 ,1 ,"",1 ,1 ,2 ,2 ,1 ,"","","","","",6 16 ,4 4 ,0 0 ,"",10 ,20 ,50%
Thiago SILVA 3 ,"96'08"" ","","","",3 ,5 ,2 ,2 ,2 ,"",1 ,6 ,6 ,"","","",2 8 ,21 24 ,4 5 ,"",27 ,37 ,73%
 DAVID LUIZ 4 ,"96'08"" ","",3 ,5 ,"",2 ,3 ,1 ,"",1 ,2 ,2 ,2 ,"","","",8 11 ,11 12 ,2 5 ,"",21 ,28 ,75%
 FERNANDINHO 5 ,"96'08"" ","",1 ,1 ,2 ,"",3 ,5 ,3 ,6 ,5 ,4 ,2 ,"","","",5 5 ,19 22 ,8 9 ,"",32 ,36 ,89%
 MARCELO 6 ,"96'08"" ","","","",4 ,5 ,"",9 ,1 ,3 ,8 ,2 ,"","","","",2 5 ,20 27 ,10 12 ,"",32 ,44 ,73%
 HULK 7 ,"83'10"" ","","",1 ,1 ,1 ,8 ,"",2 ,1 ,4 ,2 ,"","","","",0 2 ,13 15 ,7 8 ,"",20 ,25 ,80%
 PAULINHO 8 ,"86'39"" ","",1 ,3 ,"",3 ,1 ,3 ,"",1 ,7 ,1 ,3 ,"","","",1 1 ,12 16 ,10 12 ,"",23 ,29 ,79%
 FRED 9 ,"96'08"" ","","","","","",1 ,3 ,2 ,"",3 ,1 ,2 ,"",1 ,2 ,0 1 ,9 14 ,6 7 ,"",15 ,22 ,68%
 NEYMAR 10 ,"88'58"" ","","",2 ,1 ,5 ,4 ,2 ,3 ,2 ,"","",4 ,"",1 ,"",2 6 ,12 18 ,10 16 ,"",24 ,40 ,60%
 OSCAR 11 ,"96'08"" ","","",2 ,5 ,1 ,5 ,1 ,5 ,2 ,3 ,"",3 ,"","",1 ,1 1 ,19 26 ,8 13 ,"",28 ,40 ,70%
 MAICON 23 ,"96'08"" ","","",5 ,1 ,"","","",5 ,4 ,4 ,9 ,"","","","",1 4 ,19 25 ,8 10 ,"",28 ,39 ,72%
 HENRIQUE 15 ,"7'11"" ","","","","",2 ,"","","","","","","","","","",0 0 ,1 1 ,1 1 ,"",2 ,2 ,100%
 RAMIRES 16 ,"12'58"" ","","","","","","","","","",1 ,1 ,"","","","",0 1 ,2 3 ,0 0 ,"",2 ,4 ,50%
 HERNANES 18 ,"9'29"" ","","","","","","","","",1 ,"","","","","","",0 0 ,1 3 ,0 0 ,"",1 ,3 ,33%
Total passes received ,"","",5 ,21 ,18 ,24 ,28 ,27 ,25 ,23 ,39 ,28 ,22 ,0 ,2 ,3 ,28 61 ,163 210 ,74 98 ,"",265 ,369 ,72%
"","","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"","",Total,""
From ,TP ,"",1 ,2 ,3 ,6 ,7 ,9 ,10 ,11 ,13 ,14 ,18 ,17 ,19 ,20 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
David OSPINA 1 ,"96'08"" ","","",3 ,3 ,1 ,1 ,"",1 ,1 ,"","","","",1 ,1 ,4 7 ,8 9 ,0 0 ,"",12 ,16 ,75%
Cristian ZAPATA 2 ,"96'08"" ","",1 ,"",1 ,3 ,1 ,1 ,1 ,3 ,"",1 ,4 ,"",1 ,"",3 7 ,10 16 ,4 5 ,"",17 ,28 ,61%
Mario YEPES 3 ,"96'08"" ","","",1 ,"",4 ,3 ,1 ,1 ,3 ,6 ,"",1 ,"","",1 ,1 4 ,12 13 ,8 10 ,"",21 ,27 ,78%
Carlos SANCHEZ 6 ,"96'08"" ","","",3 ,"","",4 ,2 ,5 ,2 ,6 ,"",2 ,1 ,"",1 ,2 2 ,19 21 ,5 6 ,"",26 ,29 ,90%
Pablo ARMERO 7 ,"96'08"" ","","",1 ,1 ,1 ,"",4 ,9 ,5 ,4 ,4 ,"",1 ,2 ,1 ,3 6 ,21 27 ,9 13 ,"",33 ,46 ,72%
Teofilo GUTIERREZ 9 ,"70'46"" ","","","","","",3 ,"",2 ,2 ,"",2 ,"","",1 ,"",0 0 ,5 11 ,5 10 ,"",10 ,21 ,48%
James RODRIGUEZ 10 ,"96'08"" ","","",2 ,"",1 ,3 ,4 ,"",2 ,6 ,1 ,2 ,3 ,5 ,1 ,4 8 ,18 31 ,8 10 ,"",30 ,49 ,61%
Juan CUADRADO 11 ,"80'59"" ","","","","","",3 ,3 ,2 ,"",1 ,1 ,3 ,1 ,"","",0 1 ,8 14 ,6 11 ,"",14 ,26 ,54%
Fredy GUARIN 13 ,"96'08"" ","","","",2 ,4 ,4 ,3 ,10 ,7 ,"",1 ,2 ,"",1 ,"",3 4 ,21 25 ,10 16 ,"",34 ,45 ,76%
Victor IBARBO 14 ,"46'06"" ","","","","","",2 ,"",2 ,"",3 ,"","","","","",0 1 ,3 8 ,4 5 ,"",7 ,14 ,50%
Juan ZUNIGA 18 ,"96'08"" ","",2 ,4 ,"","","",1 ,6 ,6 ,4 ,"","","",3 ,1 ,4 4 ,15 21 ,8 9 ,"",27 ,34 ,79%
Carlos BACCA 17 ,"25'22"" ","","","",1 ,"","","",3 ,"","","","","",2 ,"",0 0 ,3 4 ,3 3 ,"",6 ,7 ,86%
Adrian RAMOS 19 ,"50'03"" ","","","",1 ,"",2 ,1 ,2 ,2 ,"","",1 ,1 ,"","",0 0 ,5 8 ,5 8 ,"",10 ,16 ,62%
Juan QUINTERO 20 ,"15'09"" ","","",1 ,"",1 ,1 ,"",1 ,"",1 ,"","","",1 ,"",2 6 ,3 3 ,1 1 ,"",6 ,10 ,60%
Total passes received ,"","",3 ,15 ,9 ,15 ,27 ,20 ,45 ,33 ,31 ,10 ,15 ,7 ,17 ,6 ,26 50 ,151 211 ,76 107 ,"",253 ,368 ,69%
