From ,TP ,1 ,2 ,4 ,6 ,7 ,9 ,10 ,14 ,15 ,22 ,23 ,5 ,8 ,18 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Sergio ROMERO 1 ,"97'05"" ","",5 ,2 ,1 ,"",2 ,"",3 ,5 ,"",1 ,"",2 ,"",4 23 ,14 14 ,3 3 ,21 ,40 ,52%
Ezequiel GARAY 2 ,"97'05"" ",5 ,"",1 ,1 ,"",1 ,"",5 ,3 ,4 ,6 ,"",1 ,1 ,4 4 ,20 27 ,4 5 ,28 ,36 ,78%
Pablo ZABALETA 4 ,"97'05"" ",1 ,2 ,"",4 ,1 ,7 ,1 ,2 ,4 ,"","","",7 ,"",2 5 ,17 22 ,10 13 ,29 ,40 ,72%
Lucas BIGLIA 6 ,"97'05"" ",1 ,4 ,6 ,"",2 ,"",2 ,7 ,4 ,2 ,2 ,1 ,3 ,2 ,2 2 ,22 26 ,12 15 ,36 ,43 ,84%
Angel DI MARIA 7 ,"32'42"" ","","","",2 ,"",1 ,1 ,"","","",2 ,"","","",2 2 ,2 3 ,2 5 ,6 ,10 ,60%
Gonzalo HIGUAIN 9 ,"82'47"" ","",1 ,2 ,4 ,3 ,"",3 ,4 ,"",2 ,"","",1 ,1 ,2 3 ,12 14 ,7 12 ,21 ,29 ,72%
Lionel MESSI 10 ,"97'05"" ","",1 ,2 ,6 ,1 ,2 ,"",2 ,"",6 ,1 ,"","","",4 7 ,10 14 ,7 12 ,21 ,33 ,64%
Javier MASCHERANO 14 ,"97'05"" ",1 ,2 ,1 ,3 ,4 ,4 ,8 ,"",7 ,5 ,4 ,1 ,"",2 ,6 9 ,29 36 ,7 8 ,42 ,53 ,79%
Martin DEMICHELIS 15 ,"97'05"" ",4 ,"",5 ,6 ,2 ,6 ,3 ,5 ,"","",3 ,"",1 ,"",1 3 ,26 28 ,8 8 ,35 ,39 ,90%
Ezequiel LAVEZZI 22 ,"72'16"" ","","","",2 ,"",1 ,5 ,7 ,"","",5 ,"",1 ,"",2 7 ,11 12 ,8 12 ,21 ,31 ,68%
Jose Maria BASANTA 23 ,"97'05"" ",1 ,6 ,"",2 ,"",2 ,1 ,5 ,"",11 ,"","","",7 ,2 4 ,23 30 ,10 14 ,35 ,48 ,73%
Fernando GAGO 5 ,"14'19"" ","","","","","","",2 ,1 ,1 ,"","","","",1 ,0 0 ,4 5 ,1 1 ,5 ,6 ,83%
Enzo PEREZ 8 ,"64'23"" ","","",3 ,3 ,"",4 ,2 ,2 ,2 ,"",1 ,"","","",0 2 ,12 14 ,5 7 ,17 ,23 ,74%
Rodrigo PALACIO 18 ,"24'49"" ","","","",1 ,"","",3 ,2 ,"","",1 ,2 ,"","",0 0 ,2 5 ,7 7 ,9 ,12 ,75%
Total passes received ,"",13 ,21 ,22 ,35 ,13 ,30 ,31 ,45 ,26 ,30 ,26 ,4 ,16 ,14 ,31 71 ,204 250 ,91 122 ,326 ,443 ,74%
"","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,1 ,2 ,4 ,5 ,6 ,7 ,8 ,10 ,11 ,15 ,17 ,9 ,14 ,22 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Thibaut COURTOIS 1 ,"97'05"" ","",1 ,7 ,1 ,1 ,"",3 ,"",1 ,2 ,1 ,"","",1 ,7 12 ,8 9 ,3 3 ,18 ,24 ,75%
Toby ALDERWEIRELD 2 ,"97'05"" ",2 ,"",1 ,3 ,3 ,9 ,9 ,4 ,5 ,9 ,1 ,1 ,1 ,"",9 15 ,31 39 ,8 13 ,48 ,67 ,72%
Vincent KOMPANY 4 ,"97'05"" ",5 ,3 ,"",9 ,6 ,4 ,5 ,1 ,"",2 ,"","",1 ,"",6 10 ,26 31 ,4 6 ,36 ,47 ,77%
Jan VERTONGHEN 5 ,"97'05"" ","","",8 ,"",6 ,2 ,5 ,3 ,4 ,1 ,1 ,"",1 ,"",5 8 ,21 29 ,5 9 ,31 ,46 ,67%
Axel WITSEL 6 ,"97'05"" ","",8 ,4 ,13 ,"",8 ,7 ,7 ,2 ,2 ,"","",3 ,2 ,3 5 ,38 39 ,15 18 ,56 ,62 ,90%
Kevin DE BRUYNE 7 ,"97'05"" ","",3 ,2 ,3 ,11 ,"",3 ,4 ,1 ,2 ,4 ,1 ,1 ,2 ,5 10 ,16 27 ,16 19 ,37 ,56 ,66%
Marouane FELLAINI 8 ,"97'05"" ","",11 ,3 ,3 ,4 ,4 ,"",5 ,1 ,2 ,"",1 ,2 ,"",2 2 ,26 31 ,8 13 ,36 ,46 ,78%
Eden HAZARD 10 ,"76'56"" ","",5 ,"",3 ,5 ,1 ,5 ,"",1 ,1 ,1 ,"",1 ,"",1 3 ,16 20 ,6 10 ,23 ,33 ,70%
Kevin MIRALLAS 11 ,"61'08"" ","",3 ,"",1 ,1 ,2 ,4 ,1 ,"",1 ,"","","","",0 1 ,9 14 ,4 4 ,13 ,19 ,68%
Daniel VAN BUYTEN 15 ,"97'05"" ","",11 ,6 ,"",6 ,1 ,1 ,1 ,1 ,"","",2 ,"","",3 8 ,18 23 ,8 10 ,29 ,41 ,71%
Divock ORIGI 17 ,"60'58"" ","","","","",3 ,"","","",2 ,"","","","","",0 0 ,2 4 ,3 3 ,5 ,7 ,71%
Romelu LUKAKU 9 ,"36'07"" ","","","",1 ,"",2 ,1 ,"","","","","","","",0 0 ,1 1 ,3 5 ,4 ,6 ,67%
Dries MERTENS 14 ,"35'57"" ","",1 ,"",2 ,1 ,1 ,1 ,1 ,"","","",2 ,"",1 ,1 1 ,6 9 ,3 5 ,10 ,15 ,67%
Nacer CHADLI 22 ,"20'10"" ","","",1 ,"","",2 ,1 ,"","",1 ,"","","","",0 0 ,3 3 ,2 4 ,5 ,7 ,71%
Total passes received ,"",7 ,46 ,32 ,39 ,47 ,36 ,45 ,27 ,18 ,23 ,8 ,7 ,10 ,6 ,42 75 ,221 279 ,88 122 ,351 ,476 ,74%
