From ,TP ,1 ,2 ,3 ,4 ,5 ,6 ,9 ,10 ,11 ,15 ,20 ,7 ,16 ,19 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Jasper CILLESSEN 1 ,"127'28"" ","",5 ,4 ,6 ,5 ,"","",1 ,1 ,3 ,"",2 ,1 ,"",10 16 ,"",18 18 ,0 0 ,28 ,34 ,82%
Ron VLAAR 2 ,"127'28"" ",2 ,"",19 ,13 ,8 ,4 ,"",6 ,1 ,9 ,2 ,4 ,3 ,"",12 14 ,"",54 66 ,5 7 ,71 ,87 ,82%
Stefan DE VRIJ 3 ,"127'28"" ",13 ,16 ,"",1 ,5 ,8 ,2 ,"",4 ,6 ,9 ,18 ,6 ,"",11 16 ,"",69 80 ,8 10 ,88 ,106 ,83%
Bruno MARTINS INDI 4 ,"47'05"" ",2 ,5 ,3 ,"",5 ,12 ,1 ,2 ,"",1 ,1 ,"","","",3 6 ,"",25 28 ,4 6 ,32 ,40 ,80%
Daley BLIND 5 ,"127'28"" ",1 ,12 ,4 ,8 ,"","",2 ,9 ,4 ,20 ,3 ,"",3 ,1 ,8 12 ,"",49 57 ,10 11 ,67 ,80 ,84%
Nigel DE JONG 6 ,"63'23"" ",1 ,7 ,6 ,1 ,6 ,"",1 ,6 ,"",7 ,4 ,1 ,"","",11 12 ,"",24 28 ,5 5 ,40 ,45 ,89%
Robin VAN PERSIE 9 ,"100'45"" ","","","","",1 ,"","",2 ,1 ,2 ,"",2 ,1 ,"",1 1 ,"",2 8 ,6 9 ,9 ,18 ,50%
Wesley SNEIJDER 10 ,"127'28"" ","","",3 ,1 ,6 ,4 ,1 ,"",7 ,13 ,4 ,1 ,1 ,1 ,4 14 ,"",28 39 ,10 16 ,42 ,69 ,61%
Arjen ROBBEN 11 ,"127'28"" ","","",2 ,"",2 ,2 ,1 ,5 ,"",5 ,5 ,9 ,6 ,1 ,3 4 ,"",24 29 ,11 16 ,38 ,49 ,78%
Dirk KUYT 15 ,"127'28"" ","",5 ,8 ,"",15 ,2 ,3 ,9 ,8 ,"",10 ,"",11 ,1 ,8 16 ,"",52 66 ,12 15 ,72 ,97 ,74%
Georginio WIJNALDUM 20 ,"127'28"" ","",4 ,6 ,2 ,3 ,5 ,1 ,6 ,8 ,8 ,"",12 ,5 ,1 ,5 6 ,"",37 40 ,19 22 ,61 ,68 ,90%
Daryl JANMAAT 7 ,"80'23"" ","",1 ,17 ,"","",2 ,2 ,"",10 ,2 ,10 ,"",6 ,3 ,0 4 ,"",40 46 ,13 15 ,53 ,65 ,82%
Jordy CLASIE 16 ,"64'05"" ","",5 ,8 ,"",7 ,"",1 ,9 ,3 ,4 ,5 ,3 ,"","",3 4 ,"",33 35 ,9 11 ,45 ,50 ,90%
Klaas Jan HUNTELAAR 19 ,"26'42"" ","","",1 ,"","","","",3 ,4 ,"",1 ,1 ,"","",0 0 ,"",4 4 ,6 6 ,10 ,10 ,100%
Total passes received ,"",19 ,60 ,81 ,32 ,63 ,39 ,15 ,58 ,51 ,80 ,54 ,53 ,43 ,8 ,79 125 ,"",459 544 ,118 149 ,656 ,818 ,80%
"","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"",Total,""
From ,TP ,1 ,2 ,4 ,6 ,8 ,9 ,10 ,14 ,15 ,16 ,22 ,11 ,18 ,20 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Sergio ROMERO 1 ,"127'28"" ","",3 ,"","","",1 ,"",8 ,8 ,1 ,"","","",1 ,3 18 ,"",15 15 ,4 4 ,22 ,37 ,59%
Ezequiel GARAY 2 ,"127'28"" ",3 ,"",2 ,10 ,3 ,"",1 ,23 ,6 ,8 ,"",2 ,1 ,"",2 6 ,"",49 55 ,8 10 ,59 ,71 ,83%
Pablo ZABALETA 4 ,"127'28"" ",2 ,"","",9 ,8 ,5 ,6 ,4 ,11 ,"",5 ,"",2 ,2 ,4 9 ,"",28 35 ,22 29 ,54 ,73 ,74%
Lucas BIGLIA 6 ,"127'28"" ",2 ,10 ,9 ,"",1 ,3 ,10 ,3 ,7 ,5 ,2 ,"",4 ,"",5 6 ,"",36 41 ,15 16 ,56 ,63 ,89%
Enzo PEREZ 8 ,"83'00"" ",1 ,3 ,10 ,5 ,"",2 ,6 ,5 ,3 ,4 ,1 ,"","","",2 4 ,"",24 25 ,14 17 ,40 ,46 ,87%
Gonzalo HIGUAIN 9 ,"83'51"" ","",1 ,"",1 ,6 ,"",2 ,"",1 ,2 ,2 ,"","","",1 1 ,"",12 13 ,2 5 ,15 ,19 ,79%
Lionel MESSI 10 ,"127'28"" ","",1 ,2 ,6 ,8 ,2 ,"",4 ,1 ,5 ,2 ,1 ,"",2 ,3 6 ,"",21 27 ,10 18 ,34 ,51 ,67%
Javier MASCHERANO 14 ,"127'28"" ",2 ,16 ,14 ,3 ,6 ,1 ,5 ,"",17 ,4 ,2 ,"",1 ,1 ,12 17 ,"",50 59 ,10 11 ,72 ,87 ,83%
Martin DEMICHELIS 15 ,"127'28"" ",3 ,5 ,13 ,9 ,11 ,"",5 ,18 ,"",2 ,"","",1 ,"",5 5 ,"",53 61 ,9 12 ,67 ,78 ,86%
Marcos ROJO 16 ,"127'28"" ",1 ,11 ,"",2 ,5 ,3 ,1 ,5 ,"","",10 ,1 ,"",1 ,3 5 ,"",28 38 ,9 13 ,40 ,56 ,71%
Ezequiel LAVEZZI 22 ,"105'17"" ","",2 ,2 ,2 ,"","",2 ,3 ,"",5 ,"","","",1 ,1 4 ,"",10 17 ,6 9 ,17 ,30 ,57%
Maxi RODRIGUEZ 11 ,"22'11"" ","",1 ,"",1 ,"","","",1 ,"",1 ,"","",1 ,"",0 0 ,"",3 4 ,2 3 ,5 ,7 ,71%
Rodrigo PALACIO 18 ,"44'27"" ","","","","","","",1 ,1 ,"",1 ,1 ,"","",1 ,0 1 ,"",4 6 ,1 3 ,5 ,10 ,50%
Sergio AGUERO 20 ,"43'37"" ","","","","","","",2 ,"","","","",1 ,1 ,"",0 0 ,"",2 5 ,2 6 ,4 ,11 ,36%
Total passes received ,"",14 ,53 ,52 ,48 ,48 ,17 ,41 ,75 ,54 ,38 ,25 ,5 ,11 ,9 ,41 82 ,"",335 401 ,114 156 ,490 ,639 ,77%
