From ,TP ,"",12 ,2 ,3 ,4 ,5 ,6 ,14 ,15 ,16 ,21 ,23 ,7 ,9 ,PC ,PA PC ,"",PA PC ,"",PA PC ,"",PA ,%
Alireza HAGHIGHI 12 ,"94'07"" ","","","","",1 ,"",1 ,"",1 ,5 ,3 ,1 ,"",1 ,10 ,25 3 ,"",3 0 ,"",0 13 ,"",28 ,46%
Khosro HEYDARI 2 ,"91'03"" ","","","","","","",1 ,4 ,3 ,3 ,"","","",1 ,2 ,6 7 ,"",9 3 ,"",10 12 ,"",25 ,48%
Ehsan HAJI SAFI 3 ,"94'07"" ","","","","",1 ,"",2 ,3 ,1 ,3 ,7 ,4 ,"",1 ,3 ,4 12 ,"",20 7 ,"",8 22 ,"",32 ,69%
Jalal HOSSEINI 4 ,"94'07"" ","","",2 ,"","",5 ,2 ,1 ,1 ,3 ,1 ,"","",1 ,2 ,6 9 ,"",12 5 ,"",8 16 ,"",26 ,62%
Amirhossein SADEGHI 5 ,"94'07"" ","",2 ,"",4 ,1 ,"",2 ,1 ,3 ,1 ,1 ,1 ,"","",1 ,1 13 ,"",14 2 ,"",2 16 ,"",17 ,94%
Javad NEKOUNAM 6 ,"94'07"" ","","",3 ,6 ,1 ,2 ,"",6 ,2 ,4 ,1 ,2 ,"","",5 ,5 17 ,"",25 5 ,"",7 27 ,"",37 ,73%
Andranik TIMOTIAN 14 ,"94'07"" ","","",4 ,3 ,"",2 ,4 ,"",3 ,2 ,1 ,"","",1 ,0 ,4 13 ,"",19 7 ,"",9 20 ,"",32 ,62%
Pejman MONTAZERI 15 ,"94'07"" ","",1 ,8 ,1 ,3 ,"",3 ,1 ,"",6 ,"",1 ,"","",4 ,6 20 ,"",24 0 ,"",4 24 ,"",34 ,71%
Reza GHOOCHANNEJAD 16 ,"94'07"" ","","",3 ,1 ,"","",1 ,4 ,"","",4 ,"","","",1 ,3 7 ,"",11 5 ,"",10 13 ,"",24 ,54%
Ashkan DEJAGAH 21 ,"79'35"" ","","","",5 ,"","",3 ,1 ,"",3 ,"","","","",3 ,3 4 ,"",11 5 ,"",12 12 ,"",26 ,46%
Mehrdad POOLADI 23 ,"94'07"" ","","","",7 ,"","",2 ,"","",1 ,2 ,"",1 ,"",2 ,5 7 ,"",9 4 ,"",5 13 ,"",19 ,68%
Masoud SHOJAEI 7 ,"3'05"" ","","","","","","","","","","","","","",1 ,0 ,0 1 ,"",1 0 ,"",0 1 ,"",1 ,100%
Alireza JAHAN BAKHSH 9 ,"14'32"" ","","",1 ,1 ,"","","","",1 ,"","","","","",0 ,2 3 ,"",5 0 ,"",1 3 ,"",8 ,38%
Total passes received ,"","",3 ,21 ,28 ,7 ,9 ,21 ,21 ,15 ,31 ,20 ,9 ,1 ,6 ,33 ,70 116 ,"",163 43 ,"",76 192 ,"",309 ,62%
"","","",To,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,"",Medium ,"",Short ,"","",Total
From ,TP ,"",1 ,5 ,7 ,9 ,10 ,11 ,13 ,14 ,15 ,17 ,22 ,2 ,8 ,23 ,PC PA ,"",PC PA ,"",PC PA ,"",PC ,PA %
Vincent ENYEAMA 1 ,"94'07"" ","","","",2 ,"",2 ,"","",4 ,2 ,2 ,9 ,3 ,"","",1 3 ,"",21 21 ,"",2 2 ,"",24 ,26 92%
Efe AMBROSE 5 ,"94'07"" ","",2 ,"",2 ,3 ,7 ,"",1 ,2 ,9 ,10 ,9 ,8 ,1 ,2 ,4 9 ,"",47 49 ,"",5 8 ,"",56 ,66 85%
Ahmed MUSA 7 ,"94'07"" ","","",3 ,"",2 ,1 ,1 ,1 ,"",1 ,1 ,2 ,"","","",0 1 ,"",7 23 ,"",5 11 ,"",12 ,35 34%
Emmanuel EMENIKE 9 ,"94'07"" ","","",2 ,4 ,"","","","","",1 ,1 ,"","","",1 ,1 3 ,"",6 14 ,"",2 2 ,"",9 ,19 47%
John Obi MIKEL 10 ,"94'07"" ","",1 ,7 ,4 ,3 ,"",5 ,6 ,3 ,8 ,18 ,3 ,2 ,3 ,2 ,9 19 ,"",47 62 ,"",9 13 ,"",65 ,94 69%
Victor MOSES 11 ,"53'31"" ","","","",1 ,1 ,"","",1 ,"",4 ,"","","","","",0 1 ,"",6 7 ,"",1 2 ,"",7 ,10 70%
Juwon OSHANIWA 13 ,"94'07"" ","",2 ,"",3 ,1 ,6 ,"","",8 ,3 ,5 ,6 ,1 ,4 ,"",2 6 ,"",27 34 ,"",10 12 ,"",39 ,52 75%
Godfrey OBOABONA 14 ,"28'50"" ","","",2 ,"",1 ,4 ,"",3 ,"",1 ,9 ,4 ,"","","",1 1 ,"",20 21 ,"",3 3 ,"",24 ,25 96%
Ramon AZEEZ 15 ,"70'56"" ","","",4 ,2 ,4 ,6 ,1 ,6 ,1 ,"",13 ,3 ,"","","",4 6 ,"",20 24 ,"",16 22 ,"",40 ,52 77%
Ogenyi ONAZI 17 ,"94'07"" ","",2 ,17 ,7 ,5 ,18 ,"",6 ,1 ,12 ,"",4 ,4 ,3 ,5 ,11 17 ,"",56 65 ,"",17 18 ,"",84 ,100 84%
Kenneth OMERUO 22 ,"94'07"" ","",1 ,6 ,2 ,1 ,18 ,"","",3 ,4 ,13 ,"",7 ,"",1 ,4 8 ,"",43 46 ,"",9 9 ,"",56 ,63 89%
Joseph YOBO 2 ,"65'17"" ","",2 ,8 ,"","",12 ,"","","",1 ,6 ,2 ,"",1 ,1 ,2 4 ,"",26 27 ,"",5 5 ,"",33 ,36 92%
Peter ODEMWINGIE 8 ,"23'11"" ","","","",2 ,1 ,3 ,"","","","",3 ,1 ,"","","",0 0 ,"",5 5 ,"",5 8 ,"",10 ,13 77%
Shola AMEOBI 23 ,"40'36"" ","","",1 ,"",1 ,"","",1 ,"","",1 ,"",1 ,"","",0 0 ,"",4 8 ,"",1 3 ,"",5 ,11 45%
Total passes received ,"","",10 ,50 ,29 ,23 ,77 ,7 ,25 ,22 ,46 ,82 ,43 ,26 ,12 ,12 ,39 78 ,"",335 406 ,"",90 118 ,"",464 ,602 77%
