From ,TP ,"",1 ,2 ,5 ,7 ,8 ,9 ,10 ,13 ,17 ,18 ,22 ,19 ,20 ,PC ,PA PC ,"",PA PC ,"",PA PC ,"",PA ,%
Vincent ENYEAMA 1 ,"96'11"" ","","",2 ,4 ,"","",3 ,4 ,1 ,1 ,"",4 ,"","",8 ,16 10 ,"",10 1 ,"",1 19 ,"",27 ,70%
Joseph YOBO 2 ,"96'11"" ","",2 ,"",4 ,"","","",4 ,"",6 ,1 ,4 ,"",2 ,3 ,5 16 ,"",19 4 ,"",4 23 ,"",28 ,82%
Efe AMBROSE 5 ,"96'11"" ","",2 ,3 ,"",1 ,6 ,4 ,5 ,1 ,13 ,5 ,2 ,"",2 ,2 ,4 36 ,"",44 6 ,"",9 44 ,"",57 ,77%
Ahmed MUSA 7 ,"96'11"" ","","",1 ,1 ,"","",3 ,2 ,5 ,2 ,"",1 ,"","",1 ,2 9 ,"",15 5 ,"",8 15 ,"",25 ,60%
Peter ODEMWINGIE 8 ,"81'50"" ","","","",2 ,2 ,"",3 ,4 ,"",3 ,1 ,"","","",0 ,0 10 ,"",14 5 ,"",7 15 ,"",21 ,71%
Emmanuel EMENIKE 9 ,"96'11"" ","","","",1 ,1 ,4 ,"",3 ,1 ,3 ,5 ,"","","",2 ,6 7 ,"",18 9 ,"",17 18 ,"",41 ,44%
John Obi MIKEL 10 ,"96'11"" ","",1 ,2 ,3 ,6 ,3 ,5 ,"",7 ,5 ,2 ,2 ,3 ,3 ,5 ,8 29 ,"",36 8 ,"",12 42 ,"",56 ,75%
Juwon OSHANIWA 13 ,"96'11"" ","",2 ,"",1 ,7 ,"",9 ,3 ,"",3 ,1 ,3 ,"",1 ,7 ,10 17 ,"",24 6 ,"",9 30 ,"",43 ,70%
Ogenyi ONAZI 17 ,"96'11"" ","",1 ,4 ,10 ,5 ,5 ,"",11 ,4 ,"",1 ,5 ,"",1 ,5 ,8 34 ,"",37 8 ,"",11 47 ,"",56 ,84%
Michael BABATUNDE 18 ,"67'14"" ","","","",2 ,1 ,1 ,3 ,5 ,3 ,1 ,"",1 ,"","",0 ,5 12 ,"",14 5 ,"",9 17 ,"",28 ,61%
Kenneth OMERUO 22 ,"96'11"" ","",2 ,6 ,5 ,1 ,"","",5 ,4 ,4 ,"","","",1 ,9 ,16 15 ,"",17 4 ,"",5 28 ,"",38 ,74%
Uche NWOFOR 19 ,"14'22"" ","","","","","","",1 ,2 ,"","","","","","",0 ,0 1 ,"",1 2 ,"",3 3 ,"",4 ,75%
Okechukwu UCHEBO 20 ,"28'58"" ","","","","","","",1 ,2 ,1 ,3 ,"","","","",1 ,1 1 ,"",5 5 ,"",5 7 ,"",11 ,64%
Total passes received ,"","",10 ,18 ,33 ,24 ,19 ,32 ,50 ,27 ,44 ,16 ,22 ,3 ,10 ,43 ,81 197 ,"",254 68 ,"",100 308 ,"",435 ,71%
"","","",To,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,"",Medium ,"",Short ,"","",Total
From ,TP ,"",1 ,2 ,4 ,5 ,7 ,9 ,10 ,14 ,16 ,17 ,20 ,6 ,19 ,22 ,PC PA ,"",PC PA ,"",PC PA ,"",PC ,PA %
Sergio ROMERO 1 ,"96'11"" ","","",3 ,1 ,1 ,1 ,"","",5 ,"",1 ,"","","","",3 11 ,"",7 7 ,"",2 2 ,"",12 ,20 60%
Ezequiel GARAY 2 ,"96'11"" ","",2 ,"",3 ,4 ,7 ,2 ,1 ,9 ,9 ,9 ,"","","","",4 6 ,"",35 38 ,"",7 8 ,"",46 ,52 88%
Pablo ZABALETA 4 ,"96'11"" ","","",1 ,"",8 ,1 ,3 ,2 ,2 ,"",10 ,4 ,"","",3 ,2 6 ,"",24 27 ,"",8 9 ,"",34 ,42 81%
Fernando GAGO 5 ,"96'11"" ","","",5 ,8 ,"",7 ,7 ,7 ,18 ,1 ,4 ,"","",4 ,10 ,4 6 ,"",52 55 ,"",15 17 ,"",71 ,78 91%
Angel DI MARIA 7 ,"96'11"" ","","",7 ,3 ,7 ,"",4 ,4 ,13 ,12 ,2 ,"","",2 ,7 ,12 16 ,"",39 51 ,"",10 19 ,"",61 ,86 71%
Gonzalo HIGUAIN 9 ,"92'33"" ","","",1 ,"",4 ,9 ,"",2 ,2 ,1 ,2 ,"","","",2 ,3 5 ,"",18 21 ,"",2 3 ,"",23 ,29 79%
Lionel MESSI 10 ,"64'52"" ","","","","",3 ,7 ,5 ,"",2 ,1 ,"",3 ,"","",3 ,1 6 ,"",12 16 ,"",11 16 ,"",24 ,38 63%
Javier MASCHERANO 14 ,"96'11"" ","","",7 ,5 ,17 ,16 ,2 ,7 ,"",10 ,10 ,"","",1 ,4 ,10 14 ,"",52 62 ,"",17 21 ,"",79 ,97 81%
Marcos ROJO 16 ,"96'11"" ","","",11 ,"",4 ,18 ,3 ,1 ,6 ,"",3 ,"",1 ,"",2 ,3 7 ,"",30 37 ,"",16 22 ,"",49 ,66 74%
Federico FERNANDEZ 17 ,"96'11"" ","",1 ,7 ,4 ,8 ,4 ,1 ,1 ,10 ,2 ,"","","","",3 ,6 8 ,"",24 28 ,"",11 11 ,"",41 ,47 87%
Sergio AGUERO 20 ,"37'15"" ","","","",2 ,1 ,"",2 ,"","","","","","","","",0 0 ,"",3 7 ,"",2 2 ,"",5 ,9 56%
Lucas BIGLIA 6 ,"3'38"" ","","","","",1 ,"","","","",1 ,"","","","","",0 0 ,"",2 2 ,"",0 0 ,"",2 ,2 100%
Ricardo ALVAREZ 19 ,"31'20"" ","","","",1 ,4 ,2 ,"","",3 ,"","","","","",1 ,0 0 ,"",6 7 ,"",5 6 ,"",11 ,13 85%
Ezequiel LAVEZZI 22 ,"58'56"" ","","","",2 ,4 ,6 ,1 ,3 ,2 ,2 ,"","","",1 ,"",2 5 ,"",13 22 ,"",6 9 ,"",21 ,36 58%
Total passes received ,"","",3 ,42 ,29 ,66 ,78 ,30 ,28 ,72 ,39 ,41 ,7 ,1 ,8 ,35 ,50 90 ,"",317 380 ,"",112 145 ,"",479 ,615 78%
